tahun,nomor_provinsi,nama_provinsi,nomor_kabupaten,nama_kabupaten,nomor_kecamatan,nama_kecamatan,no_kelurahan,nama_kelurahan,Column,Column2
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,1,KEP. SERIBU UTARA,1001,P. PANGGANG,,
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,1,KEP. SERIBU UTARA,1002,P. KELAPA,,
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,1,KEP. SERIBU UTARA,1003,P. HARAPAN,,
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,2,KEP. SERIBU SELATAN,1001,P. UNTUNG JAWA,,
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,2,KEP. SERIBU SELATAN,1002,P. TIDUNG,,
2014,31,DKI JAKARTA,1,KAB.ADM.KEP.SERIBU,2,KEP. SERIBU SELATAN,1003,P. PARI,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1001,GAMBIR,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1002,CIDENG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1003,PETOJO UTARA,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1004,PETOJO SELATAN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1005,KEBON KELAPA,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,1,GAMBIR,1006,DURI PULO,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,2,SAWAH BESAR,1001,PASAR BARU,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,2,SAWAH BESAR,1002,KARANG ANYAR,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,2,SAWAH BESAR,1003,KARTINI,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,2,SAWAH BESAR,1004,GUNUNG SAHARI UTARA,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,2,SAWAH BESAR,1005,MANGGA DUA SELATAN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1001,KEMAYORAN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1002,KEBON KOSONG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1003,HARAPAN MULIA,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1004,SERDANG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1005,GUNUNG SAHARI SELATAN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1006,CEMPAKA BARU,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1007,SUMUR BATU,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,3,KEMAYORAN,1008,UTAN PANJANG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1001,SENEN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1002,KENARI,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1003,PASEBAN,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1004,KRAMAT,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1005,KWITANG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,4,SENEN,1006,BUNGUR,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,5,CEMPAKA PUTIH,1001,CEMPAKA PUTIH TIMUR,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,5,CEMPAKA PUTIH,1002,CEMPAKA PUTIH BARAT,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,5,CEMPAKA PUTIH,1003,RAWASARI,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,6,MENTENG,1001,MENTENG,,
2014,31,DKI JAKARTA,71,JAKARTA PUSAT,6,MENTENG,1002,PEGANGSAAN,,
