tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,laki-laki_wni,perempuan_wni,laki-laki_wna,perempuan_wna
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,3266.0,3092.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,3276.0,3181.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,1140.0,1100.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,1121.0,1062.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,2518.0,2524.0,,
2014.0,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,1436.0,1385.0,,
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,1768.0,1641.0,3.0,2.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,9423.0,9456.0,5.0,6.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,11166.0,10718.0,12.0,9.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,9114.0,8507.0,5.0,7.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,6235.0,6046.0,6.0,11.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,12865.0,12314.0,3.0,7.0
2014.0,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,7790.0,7835.0,37.0,65.0
