jenis_industri,jenis_kelamin,jumlah_penduduk
Pertanian,Laki-laki,13895
Pertambangan Penggalian,Laki-laki,14424
Industri Pengolahan,Laki-laki,428268
Listrik Gas Air Bersih,Laki-laki,5672
Konstruksi,Laki-laki,160203
Perdagangan Hotel dan Restoran,Laki-laki,943912
Transportasi Pergudangan dan Komunikasi,Laki-laki,372086
Keuangan Perbankan & Jasa Perusahaan,Laki-laki,335404
Jasa-jasa,Laki-laki,681783
Pertanian,Perempuan,1611
Pertambangan Penggalian,Perempuan,1582
Industri Pengolahan,Perempuan,253989
Listrik Gas Air Bersih,Perempuan,1185
Konstruksi,Perempuan,19450
Perdagangan Hotel dan Restoran,Perempuan,719403
Transportasi Pergudangan dan Komunikasi,Perempuan,57209
Keuangan Perbankan & Jasa Perusahaan,Perempuan,137494
Jasa-jasa,Perempuan,565266
