tahun,jenis_pendidikan,persentase
2007,Tidak Sekolah dan Belum Tamat SD,12.55
2007,Sekolah Dasar,20.5
2007,Sekolah Lanjutan Pertama,20.29
2007,Sekolah Lanjutan Atas,33.71
2007,Akademi/Universitas,12.95
2008,Tidak Sekolah dan Belum Tamat SD,13.4
2008,Sekolah Dasar,19.85
2008,Sekolah Lanjutan Pertama,19.61
2008,Sekolah Lanjutan Atas,30.52
2008,Akademi/Universitas,16.61
2009,Tidak Sekolah dan Belum Tamat SD,10.53
2009,Sekolah Dasar,20.25
2009,Sekolah Lanjutan Pertama,19.79
2009,Sekolah Lanjutan Atas,35.78
2009,Akademi/Universitas,13.65
2010,Tidak Sekolah dan Belum Tamat SD,9.15
2010,Sekolah Dasar,21.62
2010,Sekolah Lanjutan Pertama,20.37
2010,Sekolah Lanjutan Atas,35.96
2010,Akademi/Universitas,13.9
2011,Tidak Sekolah dan Belum Tamat SD,10.36
2011,Sekolah Dasar,18.75
2011,Sekolah Lanjutan Pertama,19.38
2011,Sekolah Lanjutan Atas,37.27
2011,Akademi/Universitas,14.24
2012,Tidak Sekolah dan Belum Tamat SD,9.85
2012,Sekolah Dasar,17.75
2012,Sekolah Lanjutan Pertama,19.86
2012,Sekolah Lanjutan Atas,37.99
2012,Akademi/Universitas,14.46
2013,Tidak Sekolah dan Belum Tamat SD,37.99
2013,Sekolah Dasar,37.99
2013,Sekolah Lanjutan Pertama,37.99
2013,Sekolah Lanjutan Atas,37.99
2013,Akademi/Universitas,37.99
